Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Broker is starting...
Entities started.
0.0: Broker: Cloud Resource List received with 1 resource(s)
0.0: Broker: Trying to Create VM #0 in Datacenter_0
0.1: Broker: VM #0 has been created in Datacenter #2, Host #0
0.1: Broker: Sending cloudlet 506 to VM #0
0.1: Broker: Sending cloudlet 507 to VM #0
0.1: Broker: Sending cloudlet 508 to VM #0
0.1: Broker: Sending cloudlet 509 to VM #0
0.1: Broker: Sending cloudlet 510 to VM #0
0.1: Broker: Sending cloudlet 511 to VM #0
0.1: Broker: Sending cloudlet 512 to VM #0
0.1: Broker: Sending cloudlet 513 to VM #0
0.1: Broker: Sending cloudlet 514 to VM #0
0.1: Broker: Sending cloudlet 515 to VM #0
0.1: Broker: Sending cloudlet 516 to VM #0
0.1: Broker: Sending cloudlet 517 to VM #0
0.1: Broker: Sending cloudlet 518 to VM #0
0.1: Broker: Sending cloudlet 519 to VM #0
0.1: Broker: Sending cloudlet 520 to VM #0
0.1: Broker: Sending cloudlet 521 to VM #0
0.1: Broker: Sending cloudlet 522 to VM #0
0.1: Broker: Sending cloudlet 523 to VM #0
0.1: Broker: Sending cloudlet 524 to VM #0
0.1: Broker: Sending cloudlet 525 to VM #0
0.1: Broker: Sending cloudlet 526 to VM #0
0.1: Broker: Sending cloudlet 527 to VM #0
0.1: Broker: Sending cloudlet 528 to VM #0
0.1: Broker: Sending cloudlet 529 to VM #0
0.1: Broker: Sending cloudlet 530 to VM #0
0.1: Broker: Sending cloudlet 531 to VM #0
0.1: Broker: Sending cloudlet 532 to VM #0
